feature,score
param1,22739
param2,8223
param6,4790
param8_0,4195
param8_3,3962
param8_4,3601
param8_1,3526
param4_0,3012
tparam10_mean,2871
param8_5,2736
totaltime,2565
param8_2,2301
tparam15_max,2240
tparam15_median,2138
tparam16_max,2133
tparam10_std,2096
tparam10_cnt,2084
tparam16_median,1999
tparam11_max,1991
tparam5_min,1903
tparam10_median,1893
tparam5_median,1814
tparam10_max,1794
tparam2_min,1753
tparam10_max_min,1722
tparam6_std,1710
tparam7_max,1687
tparam4_min,1685
tparam17_max,1685
tparam7_mean,1629
tparam6_max_min,1592
tparam14_median,1587
tparam3_min,1568
tparam2_median,1565
tparam14_max,1536
tparam15_mean,1514
tparam6_max,1502
tparam1_min,1487
tparam2_max,1483
tparam10_min,1472
tparam6_min,1455
tparam11_max_min,1444
tparam11_mean,1440
tparam8_max,1435
tparam2_mean,1419
tparam4_median,1418
tparam7_std,1390
tparam3_median,1389
tparam3_mean,1389
tparam6_mean,1379
tparam4_max,1377
tparam7_max_min,1354
tparam3_std,1341
tparam2_std,1332
tparam2_max_min,1331
tparam4_max_min,1328
tparam11_std,1320
draft_param10_0,1320
tparam18_max,1291
tparam3_max,1281
tparam17_median,1265
tparam3_max_min,1221
tparam1_max_min,1214
tparam8_mean,1205
tparam17_mean,1203
tparam14_mean,1198
tparam1_std,1174
tparam4_mean,1172
tparam5_max_min,1162
tparam5_std,1157
tparam8_std,1157
tparam1_mean,1144
tparam14_std,1140
tparam5_max,1131
tparam16_mean,1128
tparam18_median,1126
tparam11_median,1123
tparam7_median,1108
tparam9_mean,1105
tparam16_max_min,1103
tparam6_median,1097
tparam9_max,1096
tparam15_max_min,1088
tparam4_std,1070
tparam5_mean,1044
tparam17_max_min,1014
tparam6_cnt,1009
param4_1,1008
tparam11_min,1008
tparam1_median,987
tparam9_median,958
tparam17_min,955
tparam8_median,950
tparam14_max_min,931
tparam9_std,923
tparam7_min,922
tparam11_cnt,919
tparam15_std,909
draft_param11_0,903
tparam8_max_min,893
tparam16_std,803
tparam18_mean,795
tparam2_cnt,775
tparam18_max_min,733
tparam18_min,722
tparam9_max_min,701
draft_param11_1,697
tparam3_cnt,681
tparam17_std,677
draft_param10_1,661
draft_param5,619
tparam12_std,605
draft_param10_2,601
tparam13_std,549
draft_param4,526
tparam13_mean,521
draft_param11_3,483
tparam14_min,473
draft_param1_4,457
tparam18_std,455
tparam12_mean,446
tparam1_max,413
tparam8_min,396
tparam14_cnt,386
tparam15_min,346
tparam9_min,325
draft_param7,302
tparam12_cnt,294
param5,281
draft_param1_1,272
tparam1_cnt,264
tparam15_cnt,260
tparam8_cnt,259
tparam4_cnt,253
tparam16_min,247
param3_0,242
tparam9_cnt,229
tparam7_cnt,225
tparam13_median,221
tparam13_cnt,219
tparam12_median,217
tparam17_cnt,206
draft_param1_5,204
tparam13_max,195
draft_param2_0,184
tparam12_max,176
draft_param11_4,175
draft_param1_3,167
tparam12_max_min,165
tparam13_min,160
tparam5_cnt,158
tparam18_cnt,153
tparam13_max_min,147
draft_param6,139
draft_param4_0,136
tparam16_cnt,133
draft_param1_0,101
param7_0,95
param5_0,91
draft_param7_2,67
draft_param2_1,62
param3_1,55
draft_param9,53
tparam12_min,45
param7_1,36
draft_param4_1,35
draft_param7_0,34
draft_param1_2,29
draft_param6_0,26
param9,26
param5_1,18
draft_param7_1,13
param3_2,13
param9_1,9
draft_param7_3,7
draft_param6_1,6
draft_param3_0,5
param9_0,4
draft_param3_1,3
